"idBank";"Last update";"Unit";"Frequency";"Nature";"Unit multiplier";"Reference area";"Gender";"Age";"Catalog of demographic indicators";"Correction";"Indicator";"Stopped series"
"000436394";"05/09/2025 12:00";"individuals";"Monthly";"Absolute value";"0";"Metropolitan France";"All";"Not applicable";"Deaths of all ages";"Uncorrected";"Number of dead";"no"
""
"Codes"
""
"Q";"Missing value; suppressed"
"E";"Estimated value"
"F";"Forecast value"
"P";"Provisional value"
"SD";"Semi-final value"
"R";"Revised value"
"A";"Normal value"
"N";"Not significant value"
"O";"Missing value"
"U";"Low reliability value"
